YPH,Tmax,Tmin,RH830,RH1430,RF,Rday,S,Sday,W,ETo,clud
234,26.4,21.2,92,79,337.3,21,5.78,21,2.11,101.5703216,3.849436821
268,29.1,20.1,92,59,168.4,12,7.99,26,1.79,120.2784273,1.997158333
294,28.6,20.3,90,65,100.9,10,8.23,27,1.8,109.2298868,2.430198214
275,28.6,17.5,91,58,73.4,5,8.66,28,1.71,108.2317042,1.345086794
244,28.8,15.7,90,63,14.8,2,8.94,29,1.72,113.2956631,0.913661921
210,31.7,16.7,90,76,0,0,8.89,28,1.86,120.6971031,0.729766463
229,33.6,20.2,90,43,10.5,1,8.57,29,1.5,146.2040105,0.835225096
235,34.2,21.5,90,48,97.6,9,8.65,27,1.6,152.05917,0.882829642
268,31.2,23.3,90,65,50.6,6,7.31,28,1.77,137.6515513,2.447763777
245,28.7,21.6,91,74,382.8,20,5.49,21,2.07,110.7510672,2.807928171
219,25.8,20.9,93,82,758.7,29,4.43,11,2.39,95.56930378,3.938845081
181,25.8,21.2,92,81,583.4,31,4.32,12,2.27,95.32092681,4.075430431
200,27.8,21.1,92,75,331.8,23,6.39,20,2.06,109.0617931,3.05056028
262,29.1,20.5,92,68,182.7,18,7.16,24,1.9,115.4466864,2.167463654
230,28,20,91,74,196.3,15,8.23,24,1.96,107.2030355,2.567696763
218,28.1,16.7,90,57,0.8,1,8.82,30,1.65,108.258379,1.251907712
195,29.2,13.4,87,43,0.8,1,9.33,30,1.46,117.8060132,0.696694719
215,30.1,14.7,79,44,0,0,9.33,28,1.38,119.1088903,0.713685491
202,34.3,18.6,82,33,0,0,9.29,31,1.29,154.8222345,0.697055423
240,33.5,21.2,85,46,85.3,5,8.54,28,1.52,151.0393675,0.987095669
295,32.4,21.7,85,52,11.9,5,9.18,30,1.54,159.4570372,1.32576422
235,25.4,21.5,91,81,537.5,28,4.67,15,2.23,96.90580293,4.406250113
209,25.2,20.9,92,86,660.3,31,3.61,12,2.37,89.42754357,4.24182701
152,25.1,21,92,83,523.2,30,4.8,16,2.26,97.12286329,4.323197273
155,26.6,20.7,91,72,331.6,21,6.45,21,2.01,106.7703543,3.521552719
259,29.3,20.6,91,62,122.3,12,8.25,27,1.78,124.1786387,2.132505926
277,28.4,17.9,88,56,10.5,5,9.23,30,1.62,115.5838516,1.45821657
221,28.9,14.9,89,52,0,0,9.33,31,1.58,113.105843,0.781625034
174,30.3,14.1,88,54,0,0,9.33,31,1.59,121.2342217,0.686924647
162,31.8,15.4,88,52,0,0,9.32,28,1.57,123.2343462,0.685014375
185,33.7,18.6,89,52,0,0,9.29,31,1.58,153.6133435,0.718955804
237,32.3,21.1,85,58,114.1,9,8.3,27,1.67,145.5703351,1.221801288
330,33.1,22,87,63,14.8,3,9.15,30,1.69,160.582953,1.177004387
274,26.7,21,90,82,223.9,25,7.38,24,2.06,118.6655668,3.58353715
206,25.7,21.1,91,82,486.6,30,5.11,17,2.21,101.9532089,4.088031718
155,25.5,20.8,92,82,847.6,30,1.99,7,2.43,79.32129038,4.047740229
171,27,20.9,91,74,284.3,20,6.85,22,2.01,110.0366556,3.429141447
290,30.3,21.7,87,57,34.5,3,8.99,29,1.63,134.7654499,2.221157144
261,29.1,20.2,90,73,134.5,8,8.14,27,1.9,110.6286152,2.174345206
256,28.7,19.4,84,52,0,0,9.31,31,1.52,115.1846487,2.081680944
210,29.6,17.1,88,43,0,0,9.32,31,1.47,118.0401355,1.049288144
196,31.2,17.3,89,48,0,0,9.31,28,1.54,120.3105763,0.832842917
234,33.6,20.1,86,44,2.3,1,9.26,30,1.46,153.3880779,0.855836855
233,35.2,20.4,81,43,7,1,9.21,30,1.39,162.3827198,0.720826609
215,33.4,22.3,84,52,145.8,5,8.01,26,1.61,155.2658786,1.200463559
216,26.2,20.8,93,83,550.4,26,4.56,15,2.28,96.31302376,3.763070726
152,24.2,20.7,96,92,1517.3,31,1.5,1,2.96,67.5605998,4.530384798
152,25.1,20.7,94,85,299.9,28,6.73,22,2.18,107.5451925,4.205239213
245,26.4,20.7,92,82,292.7,19,6.79,22,2.12,107.2756442,3.651746288
267,29.1,20.7,88,74,14.6,4,9.18,30,1.83,131.3019298,2.355831985
320,30.3,18.7,85,55,5.5,1,9.26,30,1.57,123.1493676,1.199808254
252,29.6,14.9,85,49,0,0,9.33,31,1.5,117.13459,0.753393522
206,30.5,15.6,87,48,0,0,9.32,31,1.51,121.0643482,0.74829479
212,31.5,16.6,87,39,5,1,9.27,28,1.41,121.1730613,0.74869173
214,34.4,18.3,86,41,6.8,2,9.23,30,1.43,154.922803,0.694238312
275,35.5,22,85,49,41.3,5,8.91,29,1.52,161.0204159,0.847433263
357,32.4,21.7,89,59,104.3,6,8.38,27,1.72,150.8207315,1.426964427
346,29.1,22,91,74,213,15,7.46,24,1.97,125.5636969,3.019281381
224,25.1,21.2,95,87,1515.8,30,1.45,1,2.89,71.35142312,4.437404394
159,26,21.2,95,84,522,29,4.8,16,2.3,95.41625913,4.087176086
242,27.6,20.9,91,77,288.5,24,6.82,22,2.05,112.00836,3.241444413
309,30.1,20.9,89,63,10.5,11,9.21,30,1.71,135.0689247,1.956362096
318,29.3,17.3,87,54,22.5,1,9.12,30,1.59,118.0914993,1.023193996
254,29.2,16.4,88,57,18,5,9.17,30,1.64,113.9788765,0.88446469
216,30.2,14.3,88,56,0,0,9.33,31,1.61,121.4652975,0.682004673
196,31.8,15.5,85,40,0,0,9.32,28,1.4,122.7860072,0.67572268
247,32.5,20,88,46,96.3,3,8.46,28,1.56,142.8906556,0.930543535
287,33.6,21.2,86,51,43.3,8,8.9,29,1.56,153.9142345,0.947438104
270,31.3,22.2,88,65,126.8,13,8.19,27,1.79,145.8239222,2.001797685
315,28.8,21.9,92,76,412,22,5.74,19,2.12,110.9069725,3.105453049
228,27,21.5,93,80,416.5,26,5.71,19,2.18,107.2948201,3.798939942
221,27.9,21.1,92,78,305.5,25,6.67,22,2.08,117.9472034,3.157044177
272,28.5,20.5,91,74,139.3,19,8.1,26,1.93,123.7875185,2.537167746
305,30.8,20.5,88,65,94.3,11,8.48,28,1.77,132.8910526,1.506327123
328,28.7,19.8,91,72,60,7,8.79,29,1.86,111.8442079,2.094571429
259,31.5,17.1,86,52,0,0,9.31,31,1.55,122.1730682,0.733420453
